timestamp,alpha,beta,theta,gamma,delta
2026-02-04T16:36:03.990297,0.4703,0.2704,0.3682,0.28,0.0829
2026-02-04T16:36:04.992011,0.4674,0.2854,0.3827,0.2833,0.0701
2026-02-04T16:36:05.993432,0.4231,0.2855,0.3598,0.2624,0.0863
2026-02-04T16:36:06.994764,0.4134,0.2502,0.3058,0.2256,0.0902
2026-02-04T16:36:07.995534,0.3655,0.2695,0.3977,0.2444,0.1286
2026-02-04T16:36:08.996699,0.3256,0.2671,0.3126,0.2425,0.0956
2026-02-04T16:36:09.997856,0.3359,0.2546,0.3841,0.2777,0.1534
2026-02-04T16:36:10.998907,0.3752,0.2381,0.4199,0.2795,0.1353
2026-02-04T16:36:11.999647,0.3063,0.1764,0.2458,0.1877,0.0171
2026-02-04T16:36:13.003529,0.2703,0.1357,0.2208,0.1793,0.1105
2026-02-04T16:36:14.004194,0.1843,0.1466,0.1427,0.1812,0.115
2026-02-04T16:36:15.004860,0.1684,0.1613,0.1499,0.1841,0.157
2026-02-04T16:36:16.006750,0.0736,0.111,0.1507,0.1767,0.018
2026-02-04T16:36:17.007852,0.095,0.1198,0.0767,0.1771,-0.0019
2026-02-04T16:36:18.008533,0.1235,0.1425,0.1943,0.1952,-0.1095
2026-02-04T16:36:19.009479,0.1073,0.1488,0.1707,0.2039,-0.058
2026-02-04T16:36:20.010146,0.1544,0.1828,0.1727,0.1956,0.2131
2026-02-04T16:36:21.010983,0.2794,0.2092,0.2404,0.2098,0.1742
2026-02-04T16:36:22.012023,0.3481,0.2527,0.2755,0.241,0.141
2026-02-04T16:36:23.012716,0.3166,0.2867,0.2649,0.3097,0.179
2026-02-04T16:36:24.013467,0.2204,0.2346,0.2109,0.2194,0.2114
2026-02-04T16:36:25.014485,0.2138,0.2338,0.232,0.207,0.2428
2026-02-04T16:36:26.015274,0.2263,0.213,0.2649,0.2092,0.181
2026-02-04T16:36:27.017139,0.2076,0.1534,0.2457,0.1913,0.2391
2026-02-04T16:36:28.020481,0.1462,0.1978,0.1386,0.0698,0.0396
2026-02-04T16:36:29.022464,0.1028,0.2111,0.1416,0.1032,0.0594
2026-02-04T16:36:30.022999,0.1276,0.16,0.1483,0.1348,0.1381
2026-02-04T16:36:31.023961,0.2221,0.097,0.0214,0.1683,0.0537
2026-02-04T16:36:32.025145,0.1576,0.1257,-0.0052,0.1692,0.1234
2026-02-04T16:36:33.025790,0.1239,0.1524,0.003,0.1769,0.1473
2026-02-04T16:36:34.026679,0.0,0.0,0.0,0.0,0.0
2026-02-04T16:36:35.030326,0.0,0.0,0.0,0.0,0.0
2026-02-04T16:36:36.031301,-0.1693,-0.1891,-0.2698,-0.212,-0.2985
2026-02-04T16:36:37.033692,-0.1581,-0.1715,-0.2828,-0.1609,-0.2989
2026-02-04T16:36:38.034488,-0.2009,-0.174,-0.3212,-0.163,-0.355
2026-02-04T16:36:39.035194,-0.171,-0.2018,-0.3061,-0.1818,-0.3196
2026-02-04T16:36:40.036690,-0.1702,-0.1867,-0.2968,-0.1784,-0.3031
2026-02-04T16:36:41.037739,-0.1763,-0.1394,-0.3529,-0.2131,-0.324
